Version,"RVGL 23.1030a1","P2P","Server"
Session,"08/02/26 14:22:08","Coordinator","Arcade",3,"true"
Results,"Toys in the Hood 1",1
#,Player,Car,Time,BestLap,Finished,Cheating
01,"MACI","Toyeca","02:28:155","00:46:322","true","false"
Session,"08/02/26 14:25:11","Coordinator","Arcade",3,"true"
Results,"SuperMarket 2",1
#,Player,Car,Time,BestLap,Finished,Cheating
01,"MACI","Toyeca","01:05:298","00:20:146","true","false"
Session,"08/02/26 14:31:26","Coordinator","Arcade",3,"false"
Results,"Botanical Garden",1
#,Player,Car,Time,BestLap,Finished,Cheating
01,"MACI","Toyeca","01:16:408","00:24:134","true","false"
Session,"08/02/26 14:34:07","Coordinator","Arcade",3,"false"
Results,"Botanical Garden",1
#,Player,Car,Time,BestLap,Finished,Cheating
01,"MACI","Toyeca","01:16:443","00:24:325","true","false"
Session,"08/02/26 14:35:40","Coordinator","Arcade",3,"false"
Results,"Botanical Garden",1
#,Player,Car,Time,BestLap,Finished,Cheating
01,"MACI","Toyeca","01:12:841","00:23:197","true","false"
